,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
102,2023-02-07 10:09:27.812649,"(-31.500001907348633, 13.65000057220459, 41.13999938964844)","(6.150000095367432, 25.200000762939453, 44.04399871826172)","(3.750000238418579, 27.000001907348633, 60.257999420166016)","(-24.150001525878906, 29.850000381469727, 44.52799987792969)","(30.30000114440918, 60.900001525878906, 86.1520004272461)","(0.0, 0.0, 0.0)","(-19.950000762939453, 32.10000228881836, 43.560001373291016)","(-5.550000190734863, 61.05000305175781, 44.04399871826172)"
103,2023-02-07 10:09:27.902038,"(-30.150001525878906, 12.0, 42.83399963378906)","(8.850000381469727, 22.350000381469727, 45.012001037597656)","(1.350000023841858, 26.700000762939453, 59.04800033569336)","(-24.30000114440918, 31.200000762939453, 41.13999938964844)","(30.000001907348633, 60.30000305175781, 87.12000274658203)","(0.0, 0.0, 0.0)","(-18.900001525878906, 29.850000381469727, 43.31800079345703)","(-6.600000381469727, 60.60000228881836, 45.25400161743164)"
104,2023-02-07 10:09:27.946906,"(-26.700000762939453, 11.25, 41.86600112915039)","(8.100000381469727, 22.650001525878906, 45.49599838256836)","(4.050000190734863, 26.400001525878906, 57.354000091552734)","(-24.0, 29.400001525878906, 43.801998138427734)","(32.10000228881836, 59.70000076293945, 88.33000183105469)","(0.0, 0.0, 0.0)","(-16.5, 27.450000762939453, 41.38199996948242)","(-6.450000286102295, 60.150001525878906, 44.04399871826172)"
105,2023-02-07 10:09:28.037712,"(-26.55000114440918, 10.800000190734863, 42.83399963378906)","(9.450000762939453, 22.80000114440918, 41.13999938964844)","(5.550000190734863, 24.30000114440918, 60.01599884033203)","(-21.150001525878906, 27.900001525878906, 43.560001373291016)","(31.650001525878906, 60.000003814697266, 87.12000274658203)","(0.0, 0.0, 0.0)","(-18.30000114440918, 27.000001907348633, 43.560001373291016)","(-8.700000762939453, 58.20000076293945, 44.52799987792969)"
106,2023-02-07 10:09:28.082653,"(-31.500001907348633, 11.850000381469727, 38.47800064086914)","(5.850000381469727, 22.650001525878906, 49.61000061035156)","(-1.0500000715255737, 23.400001525878906, 55.902000427246094)","(-23.700000762939453, 27.900001525878906, 43.31800079345703)","(28.350000381469727, 60.60000228881836, 85.4260025024414)","(0.0, 0.0, 0.0)","(-25.650001525878906, 27.900001525878906, 43.560001373291016)","(-11.550000190734863, 56.55000305175781, 43.560001373291016)"
107,2023-02-07 10:09:28.127070,"(-35.10000228881836, 10.950000762939453, 37.99399948120117)","(4.200000286102295, 23.100000381469727, 38.47800064086914)","(-5.850000381469727, 21.30000114440918, 55.902000427246094)","(-27.150001525878906, 27.750001907348633, 42.59199905395508)","(27.30000114440918, 60.750003814697266, 84.21599578857422)","(0.0, 0.0, 0.0)","(-30.450000762939453, 28.200000762939453, 43.801998138427734)","(-13.500000953674316, 56.250003814697266, 43.801998138427734)"
108,2023-02-07 10:09:28.217077,"(-34.5, 10.65000057220459, 34.60599899291992)","(4.350000381469727, 23.100000381469727, 39.6879997253418)","(-6.0, 22.200000762939453, 54.20800018310547)","(-24.900001525878906, 29.100000381469727, 42.83399963378906)","(26.700000762939453, 61.05000305175781, 83.73200225830078)","(0.0, 0.0, 0.0)","(-30.750001907348633, 29.850000381469727, 41.624000549316406)","(-12.750000953674316, 57.30000305175781, 42.59199905395508)"
109,2023-02-07 10:09:28.262567,"(-34.05000305175781, 13.65000057220459, 33.395999908447266)","(3.6000001430511475, 27.000001907348633, 41.38199996948242)","(-6.750000476837158, 23.25, 49.125999450683594)","(-25.500001907348633, 30.750001907348633, 40.172000885009766)","(26.100000381469727, 61.500003814697266, 82.27999877929688)","(0.0, 0.0, 0.0)","(-31.80000114440918, 31.05000114440918, 40.89799880981445)","(-12.450000762939453, 59.250003814697266, 42.83399963378906)"
110,2023-02-07 10:09:28.352174,"(-34.35000228881836, 14.40000057220459, 32.428001403808594)","(5.100000381469727, 27.900001525878906, 40.172000885009766)","(-3.6000001430511475, 24.750001907348633, 51.54600143432617)","(-25.200000762939453, 29.400001525878906, 37.75199890136719)","(27.750001907348633, 62.70000076293945, 82.03800201416016)","(0.0, 0.0, 0.0)","(-28.80000114440918, 33.0, 40.65599822998047)","(-10.350000381469727, 58.650001525878906, 41.86600112915039)"
111,2023-02-07 10:09:28.397196,"(-32.55000305175781, 16.5, 31.944000244140625)","(10.200000762939453, 27.900001525878906, 37.268001556396484)","(-2.25, 26.400001525878906, 49.85200119018555)","(-21.600000381469727, 32.70000076293945, 39.20399856567383)","(28.80000114440918, 63.30000305175781, 83.9739990234375)","(0.0, 0.0, 0.0)","(-28.200000762939453, 34.80000305175781, 40.41400146484375)","(-6.600000381469727, 60.750003814697266, 42.349998474121094)"
112,2023-02-07 10:09:28.532196,"(-29.55000114440918, 16.80000114440918, 34.12200164794922)","(10.350000381469727, 25.350000381469727, 38.47800064086914)","(1.350000023841858, 25.80000114440918, 50.33599853515625)","(-18.30000114440918, 34.5, 39.44599914550781)","(30.30000114440918, 64.80000305175781, 82.76399993896484)","(0.0, 0.0, 0.0)","(-23.25, 36.900001525878906, 41.38199996948242)","(-5.400000095367432, 60.750003814697266, 42.59199905395508)"
113,2023-02-07 10:09:28.533425,"(-24.750001907348633, 19.80000114440918, 34.847999572753906)","(14.250000953674316, 28.950000762939453, 39.20399856567383)","(4.950000286102295, 26.55000114440918, 49.36800003051758)","(-14.40000057220459, 35.25, 36.29999923706055)","(33.30000305175781, 64.95000457763672, 82.76399993896484)","(0.0, 0.0, 0.0)","(-18.450000762939453, 38.10000228881836, 41.38199996948242)","(-0.9000000357627869, 60.150001525878906, 43.31800079345703)"
114,2023-02-07 10:09:28.576901,"(-22.350000381469727, 20.55000114440918, 32.428001403808594)","(18.900001525878906, 28.05000114440918, 38.720001220703125)","(8.850000381469727, 25.950000762939453, 49.36800003051758)","(-12.0, 32.25, 40.41400146484375)","(35.10000228881836, 64.95000457763672, 83.24800109863281)","(0.0, 0.0, 0.0)","(-15.000000953674316, 37.650001525878906, 40.172000885009766)","(1.8000000715255737, 60.45000076293945, 42.10799789428711)"
115,2023-02-07 10:09:28.667111,"(-20.400001525878906, 20.850000381469727, 33.880001068115234)","(18.450000762939453, 29.700000762939453, 39.6879997253418)","(12.600000381469727, 24.600000381469727, 48.641998291015625)","(-9.15000057220459, 32.25, 41.624000549316406)","(36.30000305175781, 64.6500015258789, 82.03800201416016)","(0.0, 0.0, 0.0)","(-11.700000762939453, 36.60000228881836, 42.59199905395508)","(3.450000047683716, 59.400001525878906, 44.04399871826172)"
116,2023-02-07 10:09:28.757198,"(-18.450000762939453, 18.450000762939453, 36.05799865722656)","(19.5, 28.350000381469727, 41.38199996948242)","(9.450000762939453, 24.0, 49.61000061035156)","(-8.700000762939453, 32.10000228881836, 40.65599822998047)","(37.5, 64.35000610351562, 82.76399993896484)","(0.0, 0.0, 0.0)","(-9.15000057220459, 34.650001525878906, 43.801998138427734)","(4.350000381469727, 58.500003814697266, 45.49599838256836)"
117,2023-02-07 10:09:28.802025,"(-12.15000057220459, 19.200000762939453, 36.784000396728516)","(21.75, 25.950000762939453, 40.41400146484375)","(15.90000057220459, 21.450000762939453, 49.85200119018555)","(-8.40000057220459, 31.950000762939453, 40.65599822998047)","(39.30000305175781, 64.6500015258789, 83.24800109863281)","(0.0, 0.0, 0.0)","(-3.9000000953674316, 34.20000076293945, 43.801998138427734)","(6.600000381469727, 57.45000076293945, 44.2859992980957)"
118,2023-02-07 10:09:28.846760,"(-13.950000762939453, 20.100000381469727, 36.784000396728516)","(21.600000381469727, 26.250001907348633, 40.89799880981445)","(15.000000953674316, 23.55000114440918, 50.33599853515625)","(-8.550000190734863, 30.600000381469727, 41.13999938964844)","(39.60000228881836, 64.6500015258789, 81.55400085449219)","(0.0, 0.0, 0.0)","(-7.650000095367432, 34.650001525878906, 42.59199905395508)","(6.600000381469727, 57.900001525878906, 42.349998474121094)"
119,2023-02-07 10:09:28.981711,"(-12.90000057220459, 20.700000762939453, 37.268001556396484)","(21.450000762939453, 29.850000381469727, 41.624000549316406)","(14.550000190734863, 24.450000762939453, 45.25400161743164)","(-6.900000095367432, 32.70000076293945, 36.784000396728516)","(39.45000076293945, 64.80000305175781, 81.7959976196289)","(0.0, 0.0, 0.0)","(-7.050000190734863, 34.95000076293945, 40.65599822998047)","(5.700000286102295, 58.500003814697266, 42.349998474121094)"
120,2023-02-07 10:09:28.983076,"(-14.100000381469727, 20.700000762939453, 35.332000732421875)","(22.5, 28.80000114440918, 37.5099983215332)","(15.750000953674316, 24.450000762939453, 45.737998962402344)","(-7.500000476837158, 33.900001525878906, 36.29999923706055)","(39.60000228881836, 64.95000457763672, 81.7959976196289)","(0.0, 0.0, 0.0)","(-6.300000190734863, 34.650001525878906, 41.13999938964844)","(7.050000190734863, 58.80000305175781, 41.13999938964844)"
121,2023-02-07 10:09:29.026927,"(-13.050000190734863, 20.25, 35.332000732421875)","(21.450000762939453, 28.500001907348633, 37.5099983215332)","(14.700000762939453, 23.100000381469727, 49.61000061035156)","(-9.15000057220459, 32.85000228881836, 37.5099983215332)","(39.150001525878906, 65.10000610351562, 82.03800201416016)","(0.0, 0.0, 0.0)","(-6.900000095367432, 36.60000228881836, 39.44599914550781)","(6.600000381469727, 58.05000305175781, 41.86600112915039)"
122,2023-02-07 10:09:29.116911,"(-14.100000381469727, 20.25, 34.847999572753906)","(21.30000114440918, 28.350000381469727, 37.5099983215332)","(15.450000762939453, 24.600000381469727, 52.99800109863281)","(-8.700000762939453, 34.05000305175781, 34.12200164794922)","(38.25, 64.6500015258789, 81.06999969482422)","(0.0, 0.0, 0.0)","(-6.150000095367432, 37.650001525878906, 39.20399856567383)","(6.150000095367432, 59.400001525878906, 42.83399963378906)"
123,2023-02-07 10:09:29.161871,"(-13.350000381469727, 19.350000381469727, 36.54199981689453)","(18.0, 28.950000762939453, 40.65599822998047)","(15.000000953674316, 22.350000381469727, 47.189998626708984)","(-6.600000381469727, 34.05000305175781, 40.172000885009766)","(38.55000305175781, 63.60000228881836, 82.03800201416016)","(0.0, 0.0, 0.0)","(-6.450000286102295, 36.60000228881836, 38.961997985839844)","(5.850000381469727, 58.95000076293945, 42.83399963378906)"
124,2023-02-07 10:09:29.252364,"(-13.950000762939453, 18.600000381469727, 36.54199981689453)","(19.350000381469727, 27.900001525878906, 39.20399856567383)","(15.750000953674316, 22.5, 51.0620002746582)","(-6.600000381469727, 33.150001525878906, 39.6879997253418)","(38.25, 64.05000305175781, 82.52200317382812)","(0.0, 0.0, 0.0)","(-6.0, 37.5, 38.961997985839844)","(6.0, 59.250003814697266, 42.10799789428711)"
125,2023-02-07 10:09:29.296880,"(-13.950000762939453, 19.5, 39.20399856567383)","(21.150001525878906, 27.30000114440918, 40.172000885009766)","(15.600000381469727, 22.650001525878906, 46.947998046875)","(-7.800000190734863, 35.25, 37.99399948120117)","(38.55000305175781, 64.05000305175781, 81.7959976196289)","(0.0, 0.0, 0.0)","(-5.850000381469727, 37.05000305175781, 38.961997985839844)","(6.450000286102295, 58.650001525878906, 43.07600021362305)"
126,2023-02-07 10:09:29.341782,"(-13.950000762939453, 19.80000114440918, 35.09000015258789)","(22.05000114440918, 27.000001907348633, 38.720001220703125)","(14.700000762939453, 23.100000381469727, 49.36800003051758)","(-6.450000286102295, 32.70000076293945, 40.65599822998047)","(38.70000076293945, 64.35000610351562, 82.52200317382812)","(0.0, 0.0, 0.0)","(-5.550000190734863, 37.650001525878906, 39.44599914550781)","(6.0, 58.35000228881836, 42.83399963378906)"
127,2023-02-07 10:09:29.431992,"(-13.65000057220459, 18.450000762939453, 38.236000061035156)","(20.700000762939453, 28.650001525878906, 43.07600021362305)","(15.300000190734863, 21.75, 51.30400085449219)","(-8.700000762939453, 33.0, 39.6879997253418)","(39.45000076293945, 64.35000610351562, 82.76399993896484)","(0.0, 0.0, 0.0)","(-4.650000095367432, 36.30000305175781, 40.172000885009766)","(6.750000476837158, 58.05000305175781, 44.2859992980957)"
128,2023-02-07 10:09:29.476840,"(-12.15000057220459, 19.200000762939453, 38.47800064086914)","(21.450000762939453, 29.100000381469727, 39.93000030517578)","(15.15000057220459, 22.200000762939453, 50.33599853515625)","(-7.800000190734863, 32.400001525878906, 37.75199890136719)","(39.150001525878906, 64.20000457763672, 82.03800201416016)","(0.0, 0.0, 0.0)","(-4.950000286102295, 37.35000228881836, 39.6879997253418)","(6.900000095367432, 58.80000305175781, 43.801998138427734)"
129,2023-02-07 10:09:29.566824,"(-13.050000190734863, 18.450000762939453, 39.44599914550781)","(21.30000114440918, 25.650001525878906, 38.47800064086914)","(16.200000762939453, 22.05000114440918, 48.15800094604492)","(-6.750000476837158, 33.30000305175781, 38.720001220703125)","(39.75, 64.05000305175781, 82.52200317382812)","(0.0, 0.0, 0.0)","(-3.1500000953674316, 37.20000076293945, 39.44599914550781)","(6.900000095367432, 58.35000228881836, 44.77000045776367)"
130,2023-02-07 10:09:29.612143,"(-12.600000381469727, 19.650001525878906, 35.81599807739258)","(20.850000381469727, 28.80000114440918, 36.54199981689453)","(16.05000114440918, 21.450000762939453, 51.30400085449219)","(-6.600000381469727, 32.25, 41.13999938964844)","(39.45000076293945, 64.20000457763672, 83.00599670410156)","(0.0, 0.0, 0.0)","(-3.3000001907348633, 36.45000076293945, 40.172000885009766)","(6.450000286102295, 58.650001525878906, 43.31800079345703)"
131,2023-02-07 10:09:29.701976,"(-12.750000953674316, 18.75, 37.268001556396484)","(20.850000381469727, 27.900001525878906, 43.31800079345703)","(18.150001525878906, 24.900001525878906, 50.33599853515625)","(-6.450000286102295, 31.500001907348633, 37.99399948120117)","(40.05000305175781, 63.900001525878906, 82.76399993896484)","(0.0, 0.0, 0.0)","(-3.3000001907348633, 36.75, 39.93000030517578)","(7.800000190734863, 58.35000228881836, 43.31800079345703)"
132,2023-02-07 10:09:29.746777,"(-11.40000057220459, 18.75, 37.5099983215332)","(20.700000762939453, 28.950000762939453, 44.77000045776367)","(15.450000762939453, 21.450000762939453, 49.85200119018555)","(-6.750000476837158, 33.75, 37.75199890136719)","(38.85000228881836, 63.750003814697266, 82.03800201416016)","(0.0, 0.0, 0.0)","(-3.3000001907348633, 37.20000076293945, 38.961997985839844)","(7.050000190734863, 57.900001525878906, 43.801998138427734)"
133,2023-02-07 10:09:29.791961,"(-12.15000057220459, 19.650001525878906, 36.05799865722656)","(18.900001525878906, 27.450000762939453, 40.89799880981445)","(16.950000762939453, 20.850000381469727, 50.093997955322266)","(-7.950000286102295, 34.05000305175781, 33.395999908447266)","(39.30000305175781, 63.45000076293945, 81.7959976196289)","(0.0, 0.0, 0.0)","(-4.350000381469727, 36.60000228881836, 39.20399856567383)","(7.050000190734863, 58.35000228881836, 44.04399871826172)"
134,2023-02-07 10:09:29.881931,"(-12.450000762939453, 19.350000381469727, 37.5099983215332)","(22.5, 28.950000762939453, 38.961997985839844)","(17.400001525878906, 21.30000114440918, 49.61000061035156)","(-6.600000381469727, 32.85000228881836, 40.89799880981445)","(39.30000305175781, 63.30000305175781, 82.52200317382812)","(0.0, 0.0, 0.0)","(-3.750000238418579, 36.900001525878906, 39.6879997253418)","(6.900000095367432, 58.35000228881836, 42.59199905395508)"
135,2023-02-07 10:09:29.926899,"(-13.050000190734863, 19.5, 38.47800064086914)","(21.0, 26.700000762939453, 40.41400146484375)","(18.0, 22.05000114440918, 46.70600128173828)","(-7.200000286102295, 33.150001525878906, 38.720001220703125)","(39.150001525878906, 64.6500015258789, 82.27999877929688)","(0.0, 0.0, 0.0)","(-4.350000381469727, 37.35000228881836, 39.6879997253418)","(6.900000095367432, 58.20000076293945, 42.349998474121094)"
136,2023-02-07 10:09:30.061970,"(-11.850000381469727, 18.450000762939453, 38.47800064086914)","(21.75, 30.750001907348633, 38.961997985839844)","(14.250000953674316, 23.100000381469727, 49.61000061035156)","(-9.300000190734863, 32.85000228881836, 37.75199890136719)","(39.0, 64.05000305175781, 82.52200317382812)","(0.0, 0.0, 0.0)","(-3.9000000953674316, 36.75, 39.44599914550781)","(7.350000381469727, 58.650001525878906, 42.59199905395508)"
137,2023-02-07 10:09:30.063194,"(-12.15000057220459, 19.650001525878906, 37.268001556396484)","(22.200000762939453, 29.55000114440918, 41.624000549316406)","(16.200000762939453, 22.5, 52.99800109863281)","(-8.850000381469727, 31.950000762939453, 37.0260009765625)","(39.30000305175781, 64.05000305175781, 82.52200317382812)","(0.0, 0.0, 0.0)","(-3.750000238418579, 36.900001525878906, 39.93000030517578)","(6.900000095367432, 57.750003814697266, 43.801998138427734)"
138,2023-02-07 10:09:30.151900,"(-12.450000762939453, 19.80000114440918, 38.236000061035156)","(23.25, 27.900001525878906, 43.07600021362305)","(18.900001525878906, 21.150001525878906, 48.641998291015625)","(-6.600000381469727, 34.5, 37.5099983215332)","(39.900001525878906, 63.750003814697266, 82.03800201416016)","(0.0, 0.0, 0.0)","(-3.3000001907348633, 36.60000228881836, 38.720001220703125)","(7.350000381469727, 57.750003814697266, 42.83399963378906)"
139,2023-02-07 10:09:30.196829,"(-11.850000381469727, 18.30000114440918, 37.5099983215332)","(22.350000381469727, 26.400001525878906, 40.172000885009766)","(13.65000057220459, 21.900001525878906, 49.36800003051758)","(-8.100000381469727, 33.60000228881836, 40.41400146484375)","(39.45000076293945, 63.750003814697266, 82.03800201416016)","(0.0, 0.0, 0.0)","(-3.0, 36.60000228881836, 40.172000885009766)","(7.200000286102295, 58.35000228881836, 44.2859992980957)"
140,2023-02-07 10:09:30.241882,"(-11.25, 19.5, 36.784000396728516)","(21.600000381469727, 27.30000114440918, 40.172000885009766)","(17.25, 21.30000114440918, 51.0620002746582)","(-8.40000057220459, 33.150001525878906, 37.268001556396484)","(39.45000076293945, 64.05000305175781, 82.76399993896484)","(0.0, 0.0, 0.0)","(-2.8500001430511475, 37.20000076293945, 39.44599914550781)","(7.050000190734863, 57.45000076293945, 43.31800079345703)"
141,2023-02-07 10:09:30.331927,"(-12.15000057220459, 19.200000762939453, 37.99399948120117)","(22.80000114440918, 29.55000114440918, 39.6879997253418)","(15.300000190734863, 22.80000114440918, 48.88399887084961)","(-7.650000095367432, 30.900001525878906, 35.332000732421875)","(39.30000305175781, 63.750003814697266, 82.52200317382812)","(0.0, 0.0, 0.0)","(-2.5500001907348633, 36.45000076293945, 39.20399856567383)","(8.100000381469727, 57.900001525878906, 42.59199905395508)"
142,2023-02-07 10:09:30.376874,"(-12.90000057220459, 18.900001525878906, 37.75199890136719)","(21.75, 26.250001907348633, 41.38199996948242)","(15.90000057220459, 22.5, 51.0620002746582)","(-10.050000190734863, 33.75, 36.29999923706055)","(39.45000076293945, 63.60000228881836, 82.03800201416016)","(0.0, 0.0, 0.0)","(-3.0, 36.60000228881836, 39.44599914550781)","(8.25, 58.20000076293945, 43.07600021362305)"
143,2023-02-07 10:09:30.467042,"(-11.550000190734863, 18.900001525878906, 37.5099983215332)","(23.100000381469727, 28.350000381469727, 41.86600112915039)","(16.650001525878906, 23.25, 49.61000061035156)","(-7.800000190734863, 31.650001525878906, 37.268001556396484)","(39.30000305175781, 63.30000305175781, 82.52200317382812)","(0.0, 0.0, 0.0)","(-3.3000001907348633, 37.20000076293945, 39.44599914550781)","(7.500000476837158, 57.45000076293945, 44.04399871826172)"
144,2023-02-07 10:09:30.556964,"(-10.800000190734863, 19.350000381469727, 38.47800064086914)","(23.100000381469727, 29.250001907348633, 43.560001373291016)","(15.750000953674316, 21.600000381469727, 48.15800094604492)","(-8.100000381469727, 33.0, 37.5099983215332)","(39.45000076293945, 63.45000076293945, 82.03800201416016)","(0.0, 0.0, 0.0)","(-3.3000001907348633, 36.75, 39.6879997253418)","(7.050000190734863, 58.80000305175781, 43.07600021362305)"
145,2023-02-07 10:09:30.558302,"(-12.300000190734863, 19.650001525878906, 37.0260009765625)","(20.850000381469727, 27.600000381469727, 41.13999938964844)","(13.65000057220459, 21.600000381469727, 48.88399887084961)","(-8.100000381469727, 30.900001525878906, 38.720001220703125)","(39.45000076293945, 64.05000305175781, 81.7959976196289)","(0.0, 0.0, 0.0)","(-3.3000001907348633, 36.900001525878906, 38.961997985839844)","(7.500000476837158, 57.60000228881836, 43.31800079345703)"
146,2023-02-07 10:09:30.646909,"(-11.700000762939453, 18.900001525878906, 38.236000061035156)","(22.200000762939453, 28.200000762939453, 40.172000885009766)","(17.850000381469727, 23.25, 52.513999938964844)","(-6.300000190734863, 31.950000762939453, 37.75199890136719)","(39.75, 63.45000076293945, 82.76399993896484)","(0.0, 0.0, 0.0)","(-3.3000001907348633, 36.150001525878906, 41.13999938964844)","(7.500000476837158, 58.80000305175781, 43.31800079345703)"
147,2023-02-07 10:09:30.691779,"(-12.15000057220459, 17.700000762939453, 36.54199981689453)","(22.80000114440918, 27.150001525878906, 42.10799789428711)","(14.250000953674316, 22.80000114440918, 51.0620002746582)","(-7.650000095367432, 30.600000381469727, 40.172000885009766)","(39.900001525878906, 63.30000305175781, 81.31199645996094)","(0.0, 0.0, 0.0)","(-2.5500001907348633, 37.650001525878906, 38.720001220703125)","(7.500000476837158, 57.900001525878906, 43.560001373291016)"
148,2023-02-07 10:09:30.781953,"(-11.25, 19.650001525878906, 38.47800064086914)","(23.55000114440918, 29.400001525878906, 43.07600021362305)","(17.100000381469727, 22.950000762939453, 48.641998291015625)","(-9.90000057220459, 31.950000762939453, 39.44599914550781)","(39.75, 63.750003814697266, 82.52200317382812)","(0.0, 0.0, 0.0)","(-3.3000001907348633, 37.5, 39.93000030517578)","(7.650000095367432, 57.60000228881836, 43.07600021362305)"
149,2023-02-07 10:09:30.826854,"(-11.550000190734863, 18.450000762939453, 39.44599914550781)","(24.900001525878906, 25.80000114440918, 40.89799880981445)","(16.950000762939453, 21.450000762939453, 53.965999603271484)","(-9.0, 33.150001525878906, 37.0260009765625)","(39.75, 63.900001525878906, 82.27999877929688)","(0.0, 0.0, 0.0)","(-2.700000047683716, 37.20000076293945, 39.44599914550781)","(7.350000381469727, 58.20000076293945, 43.31800079345703)"
150,2023-02-07 10:09:30.916823,"(-12.750000953674316, 18.450000762939453, 38.47800064086914)","(23.700000762939453, 27.450000762939453, 41.624000549316406)","(18.450000762939453, 22.350000381469727, 50.093997955322266)","(-6.300000190734863, 32.55000305175781, 38.720001220703125)","(40.05000305175781, 63.900001525878906, 83.00599670410156)","(0.0, 0.0, 0.0)","(-3.0, 36.900001525878906, 39.6879997253418)","(7.800000190734863, 57.900001525878906, 44.52799987792969)"
151,2023-02-07 10:09:31.052038,"(-11.700000762939453, 19.950000762939453, 37.5099983215332)","(22.80000114440918, 25.950000762939453, 41.86600112915039)","(16.950000762939453, 21.600000381469727, 48.641998291015625)","(-10.050000190734863, 32.10000228881836, 39.20399856567383)","(39.30000305175781, 63.45000076293945, 82.52200317382812)","(0.0, 0.0, 0.0)","(-3.0, 36.45000076293945, 39.44599914550781)","(8.25, 57.750003814697266, 43.31800079345703)"
152,2023-02-07 10:09:31.053218,"(-12.15000057220459, 19.950000762939453, 38.47800064086914)","(20.850000381469727, 26.400001525878906, 39.6879997253418)","(17.400001525878906, 22.05000114440918, 50.577999114990234)","(-9.450000762939453, 32.85000228881836, 37.5099983215332)","(39.900001525878906, 64.35000610351562, 82.76399993896484)","(0.0, 0.0, 0.0)","(-2.700000047683716, 36.60000228881836, 37.5099983215332)","(7.950000286102295, 58.35000228881836, 42.83399963378906)"
153,2023-02-07 10:09:31.096817,"(-11.700000762939453, 19.350000381469727, 36.54199981689453)","(22.05000114440918, 27.30000114440918, 41.38199996948242)","(15.90000057220459, 22.950000762939453, 49.36800003051758)","(-7.950000286102295, 33.900001525878906, 35.09000015258789)","(39.900001525878906, 63.750003814697266, 83.00599670410156)","(0.0, 0.0, 0.0)","(-2.4000000953674316, 37.05000305175781, 39.20399856567383)","(7.350000381469727, 58.500003814697266, 44.2859992980957)"
154,2023-02-07 10:09:31.141759,"(-11.850000381469727, 18.30000114440918, 37.0260009765625)","(21.900001525878906, 25.200000762939453, 42.59199905395508)","(17.700000762939453, 20.700000762939453, 48.15800094604492)","(-7.650000095367432, 35.55000305175781, 37.268001556396484)","(40.05000305175781, 63.750003814697266, 82.03800201416016)","(0.0, 0.0, 0.0)","(-2.5500001907348633, 37.650001525878906, 38.720001220703125)","(7.800000190734863, 58.80000305175781, 43.801998138427734)"
155,2023-02-07 10:09:31.232346,"(-11.850000381469727, 18.0, 37.99399948120117)","(21.75, 28.05000114440918, 41.624000549316406)","(16.200000762939453, 22.650001525878906, 53.23999786376953)","(-7.650000095367432, 35.55000305175781, 37.0260009765625)","(39.30000305175781, 64.20000457763672, 82.27999877929688)","(0.0, 0.0, 0.0)","(-2.5500001907348633, 37.80000305175781, 39.6879997253418)","(7.500000476837158, 57.900001525878906, 44.04399871826172)"
156,2023-02-07 10:09:31.276756,"(-10.950000762939453, 19.80000114440918, 37.0260009765625)","(22.650001525878906, 28.200000762939453, 40.65599822998047)","(18.30000114440918, 23.100000381469727, 49.125999450683594)","(-5.550000190734863, 33.60000228881836, 41.13999938964844)","(40.05000305175781, 63.750003814697266, 83.24800109863281)","(0.0, 0.0, 0.0)","(-2.5500001907348633, 36.900001525878906, 39.20399856567383)","(7.950000286102295, 59.400001525878906, 44.2859992980957)"
157,2023-02-07 10:09:31.321827,"(-11.25, 18.450000762939453, 38.47800064086914)","(22.350000381469727, 28.200000762939453, 40.41400146484375)","(16.200000762939453, 22.05000114440918, 49.61000061035156)","(-9.0, 31.200000762939453, 36.29999923706055)","(39.75, 63.60000228881836, 82.76399993896484)","(0.0, 0.0, 0.0)","(-1.8000000715255737, 36.60000228881836, 38.47800064086914)","(8.25, 57.45000076293945, 43.801998138427734)"
158,2023-02-07 10:09:31.411867,"(-11.550000190734863, 19.200000762939453, 37.99399948120117)","(21.150001525878906, 28.500001907348633, 43.31800079345703)","(17.700000762939453, 23.100000381469727, 44.77000045776367)","(-4.350000381469727, 33.150001525878906, 37.75199890136719)","(39.45000076293945, 63.900001525878906, 81.7959976196289)","(0.0, 0.0, 0.0)","(-3.0, 37.05000305175781, 39.6879997253418)","(8.100000381469727, 58.05000305175781, 42.59199905395508)"
159,2023-02-07 10:09:31.501928,"(-10.200000762939453, 19.350000381469727, 35.81599807739258)","(22.5, 27.150001525878906, 41.13999938964844)","(18.600000381469727, 22.950000762939453, 50.093997955322266)","(-7.800000190734863, 32.55000305175781, 37.99399948120117)","(39.60000228881836, 63.750003814697266, 82.52200317382812)","(0.0, 0.0, 0.0)","(-2.4000000953674316, 37.20000076293945, 39.44599914550781)","(7.650000095367432, 58.20000076293945, 44.52799987792969)"
160,2023-02-07 10:09:31.547102,"(-9.600000381469727, 18.30000114440918, 36.05799865722656)","(22.350000381469727, 27.30000114440918, 41.38199996948242)","(16.5, 22.05000114440918, 50.093997955322266)","(-6.750000476837158, 32.70000076293945, 37.75199890136719)","(39.75, 63.45000076293945, 81.7959976196289)","(0.0, 0.0, 0.0)","(-2.700000047683716, 36.900001525878906, 39.44599914550781)","(7.650000095367432, 58.20000076293945, 44.52799987792969)"
161,2023-02-07 10:09:31.591799,"(-10.5, 18.30000114440918, 37.75199890136719)","(21.75, 28.650001525878906, 37.5099983215332)","(16.950000762939453, 23.850000381469727, 49.125999450683594)","(-6.300000190734863, 31.05000114440918, 35.332000732421875)","(39.75, 63.60000228881836, 82.27999877929688)","(0.0, 0.0, 0.0)","(-2.4000000953674316, 36.60000228881836, 38.720001220703125)","(8.700000762939453, 58.650001525878906, 43.560001373291016)"
